instancia,tiempo ejecucion,volumen total,distancia CG
0,0.3228342533111572,31756176,49.60260640518246
1,0.607968807220459,33117180,23.05494515452
2,0.3968226909637451,23790220,12.610476977638262
3,0.8927700519561768,32646962,19.880373331695484
4,0.4483072757720947,24533024,29.60027223199959
5,0.4895632266998291,32933436,25.657573910830067
6,1.5388259887695312,29920620,4.02728480832786
7,0.6042590141296387,33068234,19.9861755356356
8,0.5469071865081787,24414012,17.510055102852576
9,0.7371170520782471,30724036,22.335435980393576
10,0.5254089832305908,32712060,24.242276405591376
11,0.7269496917724609,31393856,19.226166732915402
12,1.008617877960205,32618316,6.363886504840135
13,0.5034060478210449,32557236,35.49384337616624
14,0.4803500175476074,34857652,18.780122414636995
15,0.666424036026001,26997172,31.335451186062674
16,0.36934494972229004,29985002,14.54167143334255
17,0.3052809238433838,29501928,21.82879502662611
18,0.6913652420043945,31659370,18.26288134102269
19,0.5047399997711182,25153656,18.972372994283788
20,0.44701123237609863,38851808,9.003369117552621
21,0.7022089958190918,33209084,2.7706898328646457
22,0.48823022842407227,31734800,29.80085734320145
23,0.49604296684265137,33880904,15.468465586011607
24,0.6361479759216309,30177888,9.873713368582449
25,0.579003095626831,25798210,9.560738558189273
26,1.1612591743469238,29627688,35.494465340606176
27,1.4270439147949219,31702692,4.280033484902024
28,0.6427581310272217,30284360,11.799216683638436
29,0.6265716552734375,31471498,40.28255483884141
30,0.4241023063659668,27323096,14.684206051509324
31,0.54520583152771,29055312,47.8557922028579
32,0.5294818878173828,28960542,27.115088814228045
33,0.46157383918762207,25828772,24.830643238588884
34,0.5039889812469482,22832956,38.547538330974085
35,0.46471500396728516,23581044,13.224424355329006
36,0.8014867305755615,29118696,37.44121038593817
37,0.4389669895172119,34782208,28.837311120086394
38,1.4113109111785889,30704364,3.300728848648516
39,0.29057884216308594,29900364,36.452266726650095
40,0.41585397720336914,31000520,5.323176519970664
41,0.5782527923583984,30705208,18.319474375850096
42,0.4629809856414795,22744732,15.551697936030832
43,0.3551750183105469,24519412,37.08559600731667
44,0.6267330646514893,23851474,12.432708398426719
45,0.4693412780761719,29343388,18.13515181755071
46,0.5777640342712402,27427920,7.094137022303024
47,0.43233513832092285,28181976,36.024248766842476
48,0.47588205337524414,34866788,23.55355275925988
49,0.8965210914611816,32600288,14.848115933855553
50,0.8050410747528076,27610302,5.573407625804541
51,0.4692239761352539,23788340,15.900267330967768
52,0.3920457363128662,33059896,34.01137189910453
53,0.6072189807891846,23948350,22.440756268061634
54,0.7744038105010986,24585932,8.846161128333183
55,2.917465925216675,31498552,11.406384957779471
56,0.3753988742828369,25250236,24.926528993944324
57,0.4068129062652588,35877506,14.177088261104155
58,0.9677588939666748,31606394,21.660651862809384
59,0.5206549167633057,28365814,6.785515509691366
60,0.6388030052185059,34777856,28.58409901624952
61,0.5408339500427246,31901642,15.67359461219363
62,0.46619701385498047,35097132,24.54621009842093
63,0.42235302925109863,27553312,14.652748780916136
64,0.8068101406097412,27697824,25.45271536868766
65,0.4522278308868408,32721392,2.1770735190329935
66,0.5741920471191406,29788424,32.01700483578652
67,0.5625710487365723,35298944,10.385404514400564
68,0.4410970211029053,22935686,19.98995805194486
69,0.39525723457336426,29684398,11.131221246260566
70,0.6941192150115967,34078744,12.295178192645464
71,0.5784449577331543,30666044,28.013054026186325
72,0.7362861633300781,34696192,27.615392020879643
73,0.3899118900299072,34405152,28.62909388628998
74,0.5082738399505615,28987552,7.7515802343688724
75,0.45308399200439453,30754252,28.507113720761577
76,0.5733742713928223,29799990,5.471742995011619
77,0.8679051399230957,30711708,13.085017827551356
78,1.1888623237609863,30666936,10.729194716736842
79,0.3447690010070801,26123372,18.271277266302594
80,0.39133596420288086,31150032,14.975473193694782
81,0.5043051242828369,25803334,17.75788586772454
82,0.6311450004577637,33535852,2.5916894389325447
83,0.43013501167297363,28694668,15.459997700606936
84,0.4507021903991699,33475632,20.217336453608723
85,0.5870580673217773,34513924,16.688943606215098
86,0.41008591651916504,33092820,14.356388076492923
87,0.4804060459136963,30710568,32.61871856269376
88,0.4752318859100342,32896608,3.7917049510727376
89,0.346362829208374,23762112,32.26936308784173
90,0.6467010974884033,30144698,24.317100100771672
91,0.37845301628112793,30501748,8.14952673738326
92,0.4213099479675293,33714332,28.95256097366383
93,0.6657967567443848,32916456,19.261462847218258
94,0.6214470863342285,32389960,13.479302645106275
95,0.8411910533905029,32743484,14.463813989320744
96,0.5440928936004639,30409752,13.748666286424905
97,0.3813159465789795,33062138,14.73265687356512
98,0.8118321895599365,34496648,18.215838991517252
99,0.5548129081726074,31631392,37.47181380178544
